
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: 1509.42783723 at 110, PS gt1    0, R1p 9.61967777, R2p 9.50127301, R1c 0.66999120, R2c 0.66987153, Rov = 19.79082232
opt value: 1509.40645206 at 111, PS gt1    0, R1p 9.61967743, R2p 9.50127396, R1c 0.66999145, R2c 0.66987155, Rov = 19.79082294
opt value: 1509.43621617 at 112, PS gt1    0, R1p 9.61967711, R2p 9.50127487, R1c 0.66999169, R2c 0.66987156, Rov = 19.79082353
opt value: 1509.39364306 at 113, PS gt1    0, R1p 9.61967676, R2p 9.50127582, R1c 0.66999194, R2c 0.66987158, Rov = 19.79082416
opt value: 1509.42266043 at 114, PS gt1    0, R1p 9.61967642, R2p 9.50127676, R1c 0.66999220, R2c 0.66987160, Rov = 19.79082477
opt value: 1509.40341670 at 115, PS gt1    0, R1p 9.61967607, R2p 9.50127770, R1c 0.66999245, R2c 0.66987162, Rov = 19.79082540
opt value: 1509.40492182 at 116, PS gt1    0, R1p 9.61967572, R2p 9.50127867, R1c 0.66999272, R2c 0.66987165, Rov = 19.79082603
opt value: 1509.42197296 at 117, PS gt1    0, R1p 9.61967537, R2p 9.50127962, R1c 0.66999298, R2c 0.66987167, Rov = 19.79082666
opt value: 1509.42801443 at 118, PS gt1    0, R1p 9.61967503, R2p 9.50128055, R1c 0.66999323, R2c 0.66987169, Rov = 19.79082727
opt value: 1509.41048207 at 119, PS gt1    0, R1p 9.61967469, R2p 9.50128149, R1c 0.66999348, R2c 0.66987171, Rov = 19.79082788
opt value: 1509.41197308 at 120, PS gt1    0, R1p 9.61967434, R2p 9.50128244, R1c 0.66999374, R2c 0.66987173, Rov = 19.79082851
opt value: 1509.41517053 at 121, PS gt1    0, R1p 9.61967400, R2p 9.50128338, R1c 0.66999399, R2c 0.66987175, Rov = 19.79082913
opt value: 1509.41892780 at 122, PS gt1    0, R1p 9.61967366, R2p 9.50128432, R1c 0.66999425, R2c 0.66987177, Rov = 19.79082974
opt value: 1509.42985233 at 123, PS gt1    0, R1p 9.61967332, R2p 9.50128524, R1c 0.66999448, R2c 0.66987178, Rov = 19.79083035
opt value: 1509.40011306 at 124, PS gt1    0, R1p 9.61967297, R2p 9.50128619, R1c 0.66999474, R2c 0.66987180, Rov = 19.79083097
