
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: 1509.59732964 at 117, PS gt1    0, R1p 9.61936408, R2p 9.50195892, R1c 0.67015189, R2c 0.66987214, Rov = 19.79119514
opt value: 1509.59525780 at 118, PS gt1    0, R1p 9.61936146, R2p 9.50196369, R1c 0.67015306, R2c 0.66987221, Rov = 19.79119736
opt value: 1509.59596901 at 119, PS gt1    0, R1p 9.61935889, R2p 9.50196838, R1c 0.67015421, R2c 0.66987228, Rov = 19.79119955
opt value: 1509.60418678 at 120, PS gt1    0, R1p 9.61935618, R2p 9.50197324, R1c 0.67015542, R2c 0.66987235, Rov = 19.79120177
opt value: 1509.60181800 at 121, PS gt1    0, R1p 9.61935358, R2p 9.50197793, R1c 0.67015657, R2c 0.66987242, Rov = 19.79120394
opt value: 1509.59510067 at 122, PS gt1    0, R1p 9.61935097, R2p 9.50198264, R1c 0.67015774, R2c 0.66987250, Rov = 19.79120611
opt value: 1509.60353724 at 123, PS gt1    0, R1p 9.61934848, R2p 9.50198717, R1c 0.67015884, R2c 0.66987257, Rov = 19.79120822
opt value: 1509.60207882 at 124, PS gt1    0, R1p 9.61934593, R2p 9.50199175, R1c 0.67015996, R2c 0.66987264, Rov = 19.79121033
opt value: 1509.59968415 at 125, PS gt1    0, R1p 9.61934338, R2p 9.50199633, R1c 0.67016109, R2c 0.66987272, Rov = 19.79121243
opt value: 1509.60123372 at 126, PS gt1    0, R1p 9.61934078, R2p 9.50200097, R1c 0.67016224, R2c 0.66987280, Rov = 19.79121454
opt value: 1509.61483038 at 127, PS gt1    0, R1p 9.61933815, R2p 9.50200562, R1c 0.67016340, R2c 0.66987287, Rov = 19.79121664
opt value: 1509.60443401 at 128, PS gt1    0, R1p 9.61933575, R2p 9.50200996, R1c 0.67016445, R2c 0.66987294, Rov = 19.79121866
opt value: 1509.61354567 at 129, PS gt1    0, R1p 9.61933324, R2p 9.50201443, R1c 0.67016555, R2c 0.66987301, Rov = 19.79122068
opt value: 1509.60604639 at 130, PS gt1    0, R1p 9.61933066, R2p 9.50201900, R1c 0.67016668, R2c 0.66987309, Rov = 19.79122274
opt value: 1509.61230878 at 131, PS gt1    0, R1p 9.61932816, R2p 9.50202343, R1c 0.67016777, R2c 0.66987317, Rov = 19.79122475
opt value: 1509.60639314 at 132, PS gt1    0, R1p 9.61932564, R2p 9.50202788, R1c 0.67016887, R2c 0.66987324, Rov = 19.79122676
opt value: 1509.61848283 at 133, PS gt1    0, R1p 9.61932302, R2p 9.50203244, R1c 0.67017002, R2c 0.66987332, Rov = 19.79122878
opt value: 1509.61407990 at 134, PS gt1    0, R1p 9.61932061, R2p 9.50203673, R1c 0.67017106, R2c 0.66987339, Rov = 19.79123073
opt value: 1509.60945868 at 135, PS gt1    0, R1p 9.61931818, R2p 9.50204102, R1c 0.67017212, R2c 0.66987347, Rov = 19.79123267
opt value: 1509.61171289 at 136, PS gt1    0, R1p 9.61931576, R2p 9.50204529, R1c 0.67017317, R2c 0.66987355, Rov = 19.79123460
opt value: 1509.61398204 at 137, PS gt1    0, R1p 9.61931334, R2p 9.50204955, R1c 0.67017422, R2c 0.66987363, Rov = 19.79123651
opt value: 1509.61725034 at 138, PS gt1    0, R1p 9.61931093, R2p 9.50205378, R1c 0.67017526, R2c 0.66987370, Rov = 19.79123841
opt value: 1509.61267123 at 139, PS gt1    0, R1p 9.61930851, R2p 9.50205801, R1c 0.67017630, R2c 0.66987378, Rov = 19.79124030
opt value: 1509.61435502 at 140, PS gt1    0, R1p 9.61930601, R2p 9.50206235, R1c 0.67017739, R2c 0.66987386, Rov = 19.79124222
opt value: 1509.61715143 at 141, PS gt1    0, R1p 9.61930365, R2p 9.50206647, R1c 0.67017840, R2c 0.66987394, Rov = 19.79124407
opt value: 1509.61938748 at 142, PS gt1    0, R1p 9.61930119, R2p 9.50207073, R1c 0.67017946, R2c 0.66987402, Rov = 19.79124594
opt value: 1509.61371212 at 143, PS gt1    0, R1p 9.61929880, R2p 9.50207489, R1c 0.67018049, R2c 0.66987410, Rov = 19.79124778
opt value: 1509.62391204 at 144, PS gt1    0, R1p 9.61929640, R2p 9.50207904, R1c 0.67018152, R2c 0.66987418, Rov = 19.79124962
opt value: 1509.62028575 at 145, PS gt1    0, R1p 9.61929403, R2p 9.50208315, R1c 0.67018253, R2c 0.66987426, Rov = 19.79125143
opt value: 1509.61385405 at 146, PS gt1    0, R1p 9.61929164, R2p 9.50208726, R1c 0.67018356, R2c 0.66987434, Rov = 19.79125325
opt value: 1509.62596103 at 147, PS gt1    0, R1p 9.61928934, R2p 9.50209125, R1c 0.67018454, R2c 0.66987442, Rov = 19.79125502
opt value: 1509.62030918 at 148, PS gt1    0, R1p 9.61928703, R2p 9.50209525, R1c 0.67018552, R2c 0.66987450, Rov = 19.79125678
opt value: 1509.62431215 at 149, PS gt1    0, R1p 9.61928471, R2p 9.50209925, R1c 0.67018651, R2c 0.66987458, Rov = 19.79125854
opt value: 1509.62211758 at 150, PS gt1    0, R1p 9.61928238, R2p 9.50210325, R1c 0.67018750, R2c 0.66987466, Rov = 19.79126029
opt value: 1509.62484817 at 151, PS gt1    0, R1p 9.61928008, R2p 9.50210721, R1c 0.67018848, R2c 0.66987474, Rov = 19.79126202
